Sample,UTM E,UTM N,Elevation,phase,d18O,Ref
AR1,271829,4196223,3760,sericite,-8.4,Eberl
AR1R,271829,4196223,3760,sericite,-6.9,Eberl
SG1,264253,4196750,3494,sericite,-2.4,Eberl
SG4,265384,4199226,3539,sericite,-5.3,Eberl
RM28,265732,4196314,3205,sericite,0.4,Eberl
RM6,261261,4197140,3354,sericite,0.7,Eberl
RM8,262861,4197919,3620,sericite,1,Eberl
RM5,265732,4196314,3205,sericite,1.1,Eberl
RM11,262130,4198394,3364,sericite,1.1,Eberl
LF7,262258,4199132,3298,sericite,1.3,Eberl
RM12,262112,4198405,3365,sericite,1.3,Eberl
RM30,262556,4199239,3274,sericite,1.4,Eberl
LF8,263376,4197724,3750,sericite,1.4,Eberl
RM35A,262537,4198859,3363,sericite,1.5,Eberl
RM35D,262738,4199541,3209,sericite,1.7,Eberl
RM3,265732,4196314,3205,sericite,2.4,Eberl
1,274242,4195465,3010,wr,-5.3,Ringrose
2,274006,4192693,3059,wr,-4.8,Ringrose
3,272008,4190097,3007,wr,-5.6,Ringrose
4,270621,4190527,3030,wr,-4.3,Ringrose
5,272986,4195441,3516,wr,0.8,Ringrose
6,272986,4195441,3516,wr,3,Ringrose
7,261145,4195908,3458,wr,2.3,Ringrose
8,272985,4195441,3516,wr,3,Ringrose
9,264248,4200564,3329,wr,4.6,Ringrose
10,268032,4196228,3518,q,2.2,Ringrose
11,260683,4193988,3292,wr,4.5,Ringrose